,video_id,title,views,likes,comments,publishedAt,playlist_name
141,YmmjtzDrdGk,Third Eye Blind - Never Let You Go (HQ) [Official],1015775,4345,253,2012-10-22T04:05:52Z,Top 100 Songs of 2000 - Billboard Year End Charts
142,AA_5sLaTErQ,LeAnn Rimes - I Need You (Official Music Video),17177165,126760,4106,2010-12-17T19:02:15Z,Top 100 Songs of 2000 - Billboard Year End Charts
143,7KVxjQUCyn0,"Mariah Carey, Joe, 98 Degrees - Thank God I Found You (Official HD Video)",32785441,145932,5534,2009-11-24T14:10:56Z,Top 100 Songs of 2000 - Billboard Year End Charts
144,9XwPCVvMcuE,Jagged Edge - Let's Get Married (Official Video),34468081,291678,4618,2013-08-22T04:12:34Z,Top 100 Songs of 2000 - Billboard Year End Charts
145,kxZD0VQvfqU,Whitney Houston - My Love Is Your Love (Official HD Video),97510507,420831,14346,2009-10-25T08:33:45Z,Top 100 Songs of 2000 - Billboard Year End Charts
146,cB9JJIoAdYM,Smash Mouth - Then The Morning Comes (Official Music Video),6843137,40730,2337,2009-12-25T07:47:07Z,Top 100 Songs of 2000 - Billboard Year End Charts
147,68ugkg9RePc,Eiffel 65 - Blue (Da Ba Dee) [Gabry Ponte Ice Pop Mix] (Original Video with subtitles),298779810,2962481,249450,2009-09-02T08:39:01Z,Top 100 Songs of 2000 - Billboard Year End Charts
148,C3lWwBslWqg,Sting - Desert Rose,435735000,2056151,85063,2009-06-16T23:06:15Z,Top 100 Songs of 2000 - Billboard Year End Charts
149,eJO5HU_7_1w,Eminem - The Real Slim Shady (Official Video - Clean Version),903547154,7488985,187381,2010-09-15T16:41:05Z,Top 100 Songs of 2000 - Billboard Year End Charts
150,UWJ_P-TdEJ0,P!NK - Most Girls (Video Version),35535144,133312,6970,2009-10-25T07:03:53Z,Top 100 Songs of 2000 - Billboard Year End Charts
151,aGFZq4od-VQ,Next - Wifey (Video Version),17718503,143543,2712,2011-03-18T01:33:18Z,Top 100 Songs of 2000 - Billboard Year End Charts
152,MUfgAbFY4CA,Everclear - Wonderful (Official Music Video),12209209,74825,4341,2009-02-24T22:36:49Z,Top 100 Songs of 2000 - Billboard Year End Charts
153,CduA0TULnow,Britney Spears - Oops!...I Did It Again (Official HD Video),435264341,2765045,106972,2009-10-25T19:57:17Z,Top 100 Songs of 2000 - Billboard Year End Charts
154,4bJ0F8KhhZ8,Jessica Simpson - I Wanna Love You Forever (Video),29502044,143535,9812,2009-10-03T04:44:24Z,Top 100 Songs of 2000 - Billboard Year End Charts
155,PYb2IdrN-ns,98º - Give Me Just One Night (Una Noche) (Official Music Video),4261606,23961,1831,2009-12-20T10:46:33Z,Top 100 Songs of 2000 - Billboard Year End Charts
156,h8MAHQhKe7Q,Filter - Take A Picture (Official Music Video),25787260,185439,12638,2010-04-07T20:38:23Z,Top 100 Songs of 2000 - Billboard Year End Charts
157,rn_YodiJO6k,Red Hot Chili Peppers - Otherside [Official Music Video],746698536,3437015,62257,2011-07-15T22:26:46Z,Top 100 Songs of 2000 - Billboard Year End Charts
158,Cgoqrgc_0cM,JAY-Z - Big Pimpin' ft. UGK,61679420,428628,20487,2010-11-09T18:37:39Z,Top 100 Songs of 2000 - Billboard Year End Charts
159,YUGUySygZuU,Son By Four - Purest Of Pain (A Puro Dolor) (Video (Bilingual)),12431768,56811,2398,2009-10-25T07:03:18Z,Top 100 Songs of 2000 - Billboard Year End Charts
160,vgqNtGVYQgc,Jagged Edge - He Can't Love U (Official Video),29880509,206559,4024,2013-09-15T07:27:24Z,Top 100 Songs of 2000 - Billboard Year End Charts
161,JmRrSQNgRJ8,Avant ft. Kelly Rowland - Separated (Official Video),10126250,81633,1765,2009-06-16T22:13:57Z,Top 100 Songs of 2000 - Billboard Year End Charts
162,R9jsmXKUEkI,Carl Thomas - I Wish,1267036,17474,702,2011-05-27T19:06:43Z,Top 100 Songs of 2000 - Billboard Year End Charts
163,W2mEjkBmDQo,Donell Jones - U Know What's Up (Video Version),56534398,360663,11355,2013-05-03T07:00:14Z,Top 100 Songs of 2000 - Billboard Year End Charts
164,8buuOmnd4yo,Faded - Soul Decision,1727662,8125,246,2008-11-30T23:33:15Z,Top 100 Songs of 2000 - Billboard Year End Charts
