,video_id,title,views,likes,comments,play_list_name
155,PYb2IdrN-ns,98º - Give Me Just One Night (Una Noche) (Official Music Video),4260070,23952,1831,Top 100 Songs of 2000 - Billboard Year End Charts
156,h8MAHQhKe7Q,Filter - Take A Picture (Official Music Video),25767624,185307,12631,Top 100 Songs of 2000 - Billboard Year End Charts
157,rn_YodiJO6k,Red Hot Chili Peppers - Otherside [Official Music Video],746354081,3435746,62255,Top 100 Songs of 2000 - Billboard Year End Charts
158,Cgoqrgc_0cM,JAY-Z - Big Pimpin' ft. UGK,61659891,428505,20484,Top 100 Songs of 2000 - Billboard Year End Charts
159,YUGUySygZuU,Son By Four - Purest Of Pain (A Puro Dolor) (Video (Bilingual)),12427872,56783,2396,Top 100 Songs of 2000 - Billboard Year End Charts
160,vgqNtGVYQgc,Jagged Edge - He Can't Love U (Official Video),29853747,206447,4021,Top 100 Songs of 2000 - Billboard Year End Charts
161,JmRrSQNgRJ8,Avant ft. Kelly Rowland - Separated (Official Video),10123967,81612,1765,Top 100 Songs of 2000 - Billboard Year End Charts
162,R9jsmXKUEkI,Carl Thomas - I Wish,1266307,17462,701,Top 100 Songs of 2000 - Billboard Year End Charts
163,W2mEjkBmDQo,Donell Jones - U Know What's Up (Video Version),56498794,360486,11350,Top 100 Songs of 2000 - Billboard Year End Charts
164,8buuOmnd4yo,Faded - Soul Decision,1727564,8123,246,Top 100 Songs of 2000 - Billboard Year End Charts
165,0DQup4hd1_o,Kid Rock - Only God Knows Why [Official Music Video],287308914,1292320,44937,Top 100 Songs of 2000 - Billboard Year End Charts
166,Vb2mnDp68S0,Mystikal - Shake It Fast (Official Video),26308779,230458,5666,Top 100 Songs of 2000 - Billboard Year End Charts
167,OqN0jsSeqPo,Erykah Badu - Bag Lady,34690394,261877,5890,Top 100 Songs of 2000 - Billboard Year End Charts
168,sDIFD6for4A,Train - Meet Virginia,3208287,9231,588,Top 100 Songs of 2000 - Billboard Year End Charts
169,thIVtEOtlWM,"DMX - Party Up (Up In Here) (Enhanced Video, Edited)",169947649,1459609,38523,Top 100 Songs of 2000 - Billboard Year End Charts
